Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
12918,12918,/GluGluToHToZZTo2L2Q_M-425_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07775,DPOA
12944,12944,/GluGluToHToZZTo2L2Q_M-375_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07747,DPOA
12960,12960,/GluGluToHToZZTo2L2Q_M-275_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07726,DPOA
12994,12994,/GluGluToHToZZTo2L2Q_M-300_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07692,DPOA
12998,12998,/GluGluToHToZZTo2L2Q_M-250_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07685,DPOA
13013,13013,/GluGluToHToZZTo4L_M-475_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07669,DPOA
13022,13022,/GluGluToHToZZTo2L2Q_M-230_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07661,DPOA
13037,13037,/GluGluToHToZZTo4L_M-600_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07641,DPOA
13074,13074,/GluGluToHToZZTo4L_M-500_7TeV-powheg-pythia6/Fall11-PU_S6-START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.0761,DPOA
13123,13123,/GluGluToHToZZTo4L_M-400_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07551,DPOA
13131,13131,/GluGluToHToZZTo4L_M-550_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07543,DPOA
